branch	go_direction	native	name	source_constrained_gene_count	example_source_constrained_genes	term_selected_gene_count
WT/FF	up	GO:0009967	positive regulation of signal transduction	7	Ankrd1, Cited2, Grp, Il6, Plaur, Slamf1, Ucn	76
WT/FF	up	GO:0060429	epithelium development	7	2210017I01Rik, Cited2, Il6, Krt6a, Lce1g, Plaur, Serpine1	62
WT/FF	up	GO:0046903	secretion	7	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn, Vgf	61
WT/FF	up	GO:0098542	defense response to other organism	7	Bpifc, Cd207, Il6, Krt6a, Serpine1, Slamf1, Vgf	60
WT/FF	up	GO:0140352	export from cell	7	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn, Vgf	57
WT/FF	up	GO:0032940	secretion by cell	7	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn, Vgf	56
cKO/CRE	up	GO:0023061	signal release	7	Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf	42
cKO/CRE	up	GO:0080090	regulation of primary metabolic process	6	Ankrd1, ENSMUSG00000030223, Il6, Plaur, Serpine1, Ucn	251
cKO/CRE	up	GO:0009893	positive regulation of metabolic process	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn	195
cKO/CRE	up	GO:0010604	positive regulation of macromolecule metabolic process	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn	179
cKO/CRE	up	GO:0033036	macromolecule localization	6	Ankrd1, ENSMUSG00000051209, Il6, Plppr4, Slc10a6, Vgf	173
cKO/CRE	up	GO:0009892	negative regulation of metabolic process	6	Ankrd1, ENSMUSG00000030223, Il6, Serpine1, Slamf1, Ucn	148
WT/FF	up	GO:0019219	regulation of nucleobase-containing compound metabolic process	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	146
cKO/CRE	up	GO:0009891	positive regulation of biosynthetic process	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn	145
cKO/CRE	up	GO:0010557	positive regulation of macromolecule biosynthetic process	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn	142
